R00001	polyphosphate polyphosphohydrolase	C00404 + C00001	C02174	C00404 + n C00001 <=> (n+1) C02174	polyphosphate polyphosphohydrolase; Polyphosphate + n H2O <=> (n+1) Oligophosphate	Polyphosphate + n H2O <=> (n+1) Oligophosphate
R09119	ent-copalyl-diphosphate diphosphate-lyase (ent-cassa-12,15-diene-forming)	C06089	C18226 + C00013	C06089 <=> C18226 + C00013	ent-copalyl-diphosphate diphosphate-lyase (ent-cassa-12,15-diene-forming); ent-Copalyl diphosphate <=> ent-Cassa-12,15-diene + Diphosphate	ent-Copalyl diphosphate <=> ent-Cassa-12,15-diene + Diphosphate
R09120	ent-copalyl-diphosphate diphosphate-lyase [ent-sandaracopimara-8(14),15-diene-forming]	C06089	C11877 + C00013	C06089 <=> C11877 + C00013	ent-copalyl-diphosphate diphosphate-lyase [ent-sandaracopimara-8(14),15-diene-forming]; ent-Copalyl diphosphate <=> (+)-Sandaracopimaradiene + Diphosphate	ent-Copalyl diphosphate <=> (+)-Sandaracopimaradiene + Diphosphate
R09121	ent-copalyl-diphosphate diphosphate-lyase [ent-pimara-8(14),15-diene-forming]	C06089	C18228 + C00013	C06089 <=> C18228 + C00013	ent-copalyl-diphosphate diphosphate-lyase [ent-pimara-8(14),15-diene-forming]; ent-Copalyl diphosphate <=> ent-Pimara-8(14),15-diene + Diphosphate	ent-Copalyl diphosphate <=> ent-Pimara-8(14),15-diene + Diphosphate
R09122	geranylgeraniol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (18-hydroxylating)	C09094 + C03024 + C00007	C13273 + C03161 + C00001	C09094 + C03024 + C00007 <=> C13273 + C03161 + C00001	geranylgeraniol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (18-hydroxylating); Geranylgeraniol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Plaunotol + [Oxidized NADPH---hemoprotein reductase] + H2O	Geranylgeraniol + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> Plaunotol + [Oxidized NADPH---hemoprotein reductase] + H2O
R09123	geranylgeranyl diphosphate-lyase (fusicocca-2,10(14)-diene-forming)	C00353	C18229 + C00013	C00353 <=> C18229 + C00013	geranylgeranyl diphosphate-lyase (fusicocca-2,10(14)-diene-forming); Geranylgeranyl diphosphate <=> Fusicocca-2,10(14)-diene + Diphosphate	Geranylgeranyl diphosphate <=> Fusicocca-2,10(14)-diene + Diphosphate
R09124	trimethylamine:coenzyme M methyltransferase	C00565 + C03576	C03920 + C00543	C00565 + C03576 <=> C03920 + C00543	trimethylamine:coenzyme M methyltransferase; Trimethylamine + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Dimethylamine	Trimethylamine + Coenzyme M <=> 2-(Methylthio)ethanesulfonate + Dimethylamine
R09125	2,5-dihydroxypyridine:oxygen 5,6-oxidoreductase	C01059 + C00007	C18232	C01059 + C00007 <=> C18232	2,5-dihydroxypyridine:oxygen 5,6-oxidoreductase; 2,5-Dihydroxypyridine + Oxygen <=> N-Formylmaleamic acid	2,5-Dihydroxypyridine + Oxygen <=> N-Formylmaleamic acid
R09126	N-formylmaleamic acid amidohydrolase	C18232 + C00001	C01596 + C00058	C18232 + C00001 <=> C01596 + C00058	N-formylmaleamic acid amidohydrolase; N-Formylmaleamic acid + H2O <=> Maleamate + Formate	N-Formylmaleamic acid + H2O <=> Maleamate + Formate
R09127	ethanol:cytochrome c oxidoreductase	C00469 + C18233	C00084 + C18234 + C00080	C00469 + 2 C18233 <=> C00084 + 2 C18234 + 2 C00080	ethanol:cytochrome c oxidoreductase; Ethanol + 2 Ferricytochrome cL <=> Acetaldehyde + 2 Ferrocytochrome cL + 2 H+	Ethanol + 2 Ferricytochrome cL <=> Acetaldehyde + 2 Ferrocytochrome cL + 2 H+
R09128	2-chloroethanol:cytochrome c oxidoreductase	C06753 + C18233	C06754 + C18234 + C00080	C06753 + 2 C18233 <=> C06754 + 2 C18234 + 2 C00080	2-chloroethanol:cytochrome c oxidoreductase; 2-Chloroethanol + 2 Ferricytochrome cL <=> Chloroacetaldehyde + 2 Ferrocytochrome cL + 2 H+	2-Chloroethanol + 2 Ferricytochrome cL <=> Chloroacetaldehyde + 2 Ferrocytochrome cL + 2 H+
R09129	S-(hydroxymethyl)mycothiol:NAD+ oxidoreductase	C18235 + C00003	C06718 + C00004 + C00080	C18235 + C00003 <=> C06718 + C00004 + C00080	S-(hydroxymethyl)mycothiol:NAD+ oxidoreductase; S-(Hydroxymethyl)mycothiol + NAD+ <=> S-Formylmycothiol + NADH + H+	S-(Hydroxymethyl)mycothiol + NAD+ <=> S-Formylmycothiol + NADH + H+
R09134	tetrachlorocatechol:oxygen 1,2-oxidoreductase	C18240 + C00007	C18241	C18240 + C00007 <=> C18241	tetrachlorocatechol:oxygen 1,2-oxidoreductase; Tetrachlorocatechol + Oxygen <=> Tetrachloro-cis,cis-muconate	Tetrachlorocatechol + Oxygen <=> Tetrachloro-cis,cis-muconate
R09135	2,3,5-trichlorodienelactone lyase (decyclizing)	C18241	C18242 + C01327	C18241 <=> C18242 + C01327	2,3,5-trichlorodienelactone lyase (decyclizing); Tetrachloro-cis,cis-muconate <=> 2,3,5-Trichlorodienelactone + Hydrochloric acid	Tetrachloro-cis,cis-muconate <=> 2,3,5-Trichlorodienelactone + Hydrochloric acid
R09136	2,3,5-trichlorodienelactone lactonohydrolase	C18242 + C00001	C18243	C18242 + C00001 <=> C18243	2,3,5-trichlorodienelactone lactonohydrolase; 2,3,5-Trichlorodienelactone + H2O <=> 2,3,5-Trichloromaleylacetate	2,3,5-Trichlorodienelactone + H2O <=> 2,3,5-Trichloromaleylacetate
R09137	2,4-dichloro-3-oxoadipate:NAD+ oxidoreductase	C18243 + C00004 + C00080	C18244 + C00003 + C01327	C18243 + 2 C00004 + 2 C00080 <=> C18244 + 2 C00003 + C01327	2,4-dichloro-3-oxoadipate:NAD+ oxidoreductase; 2,3,5-Trichloromaleylacetate + 2 NADH + 2 H+ <=> 2,4-Dichloro-3-oxoadipate + 2 NAD+ + Hydrochloric acid	2,3,5-Trichloromaleylacetate + 2 NADH + 2 H+ <=> 2,4-Dichloro-3-oxoadipate + 2 NAD+ + Hydrochloric acid
R09138	2,4-dichloro-3-oxoadipate:NADP+ oxidoreductase	C18243 + C00005 + C00080	C18244 + C00006 + C01327	C18243 + 2 C00005 + 2 C00080 <=> C18244 + 2 C00006 + C01327	2,4-dichloro-3-oxoadipate:NADP+ oxidoreductase; 2,3,5-Trichloromaleylacetate + 2 NADPH + 2 H+ <=> 2,4-Dichloro-3-oxoadipate + 2 NADP+ + Hydrochloric acid	2,3,5-Trichloromaleylacetate + 2 NADPH + 2 H+ <=> 2,4-Dichloro-3-oxoadipate + 2 NADP+ + Hydrochloric acid
R09140	(2E,6E)-farnesyl-diphosphate diphosphate-lyase (8-epi-cedrol-forming)	C00448 + C00001	C18245 + C00013	C00448 + C00001 <=> C18245 + C00013	(2E,6E)-farnesyl-diphosphate diphosphate-lyase (8-epi-cedrol-forming); trans,trans-Farnesyl diphosphate + H2O <=> 8-epi-Cedrol + Diphosphate	trans,trans-Farnesyl diphosphate + H2O <=> 8-epi-Cedrol + Diphosphate
R09151	trichloroethene,NADH:oxygen oxidoreductase (glyoxylate-forming)	C06790 + C00007 + C00001 + C00004 + C00080	C00048 + C01327 + C00003	C06790 + C00007 + C00001 + C00004 + C00080 <=> C00048 + 3 C01327 + C00003	trichloroethene,NADH:oxygen oxidoreductase (glyoxylate-forming); Trichloroethene + Oxygen + H2O + NADH + H+ <=> Glyoxylate + 3 Hydrochloric acid + NAD+	Trichloroethene + Oxygen + H2O + NADH + H+ <=> Glyoxylate + 3 Hydrochloric acid + NAD+
R09152	trichloroethene,NADH:oxygen oxidoreductase (formate-forming)	C06790 + C00007 + C00001 + C00004 + C00080	C00058 + C01327 + C00003	C06790 + C00007 + 2 C00001 + C00004 + C00080 <=> 2 C00058 + 3 C01327 + C00003	trichloroethene,NADH:oxygen oxidoreductase (formate-forming); Trichloroethene + Oxygen + 2 H2O + NADH + H+ <=> 2 Formate + 3 Hydrochloric acid + NAD+	Trichloroethene + Oxygen + 2 H2O + NADH + H+ <=> 2 Formate + 3 Hydrochloric acid + NAD+
R09156	chloroethane,donor:oxygen oxidoreductase (dechlorinating, acetaldehyde-forming)	C18248 + C00007 + C00030	C00084 + C01327 + C00028 + C00001	C18248 + C00007 + C00030 <=> C00084 + C01327 + C00028 + C00001	chloroethane,donor:oxygen oxidoreductase (dechlorinating, acetaldehyde-forming); Chloroethane + Oxygen + Reduced acceptor <=> Acetaldehyde + Hydrochloric acid + Acceptor + H2O	Chloroethane + Oxygen + Reduced acceptor <=> Acetaldehyde + Hydrochloric acid + Acceptor + H2O
R09162	cis-4,5-dihydroxy-4,5-dihydropyrene:NAD+ 4,5-oxidoreductase	C18249 + C00003	C18250 + C00004 + C00080	C18249 + C00003 <=> C18250 + C00004 + C00080	cis-4,5-dihydroxy-4,5-dihydropyrene:NAD+ 4,5-oxidoreductase; cis-4,5-Dihydroxy-4,5-dihydropyrene + NAD+ <=> 4,5-Dihydroxypyrene + NADH + H+	cis-4,5-Dihydroxy-4,5-dihydropyrene + NAD+ <=> 4,5-Dihydroxypyrene + NADH + H+
R09184	9,10-dihydroxybenzo[a]pyrene:oxygen 10,10a-oxidoreductase (decyclizing)	C18278 + C00007	C18272	C18278 + C00007 <=> C18272	9,10-dihydroxybenzo[a]pyrene:oxygen 10,10a-oxidoreductase (decyclizing); 9,10-Dihydroxybenzo[a]pyrene + Oxygen <=> cis-4-(8-Hydroxypyren-7-yl)-2-oxobut-3-enoate	9,10-Dihydroxybenzo[a]pyrene + Oxygen <=> cis-4-(8-Hydroxypyren-7-yl)-2-oxobut-3-enoate
R09186	2-dehydro-3-deoxy-D-arabinonate hydro-lyase (2,5-dioxopentanoate-forming)	C03826	C00433 + C00001	C03826 <=> C00433 + C00001	2-dehydro-3-deoxy-D-arabinonate hydro-lyase (2,5-dioxopentanoate-forming); 2-Dehydro-3-deoxy-D-xylonate <=> 2,5-Dioxopentanoate + H2O	2-Dehydro-3-deoxy-D-xylonate <=> 2,5-Dioxopentanoate + H2O
R09189	S-adenosyl-L-methionine:pretetramid C-methyltransferase	C00019 + C18295	C00021 + C06629	C00019 + C18295 <=> C00021 + C06629	S-adenosyl-L-methionine:pretetramid C-methyltransferase; S-Adenosyl-L-methionine + Pretetramid <=> S-Adenosyl-L-homocysteine + 6-Methylpretetramide	S-Adenosyl-L-methionine + Pretetramid <=> S-Adenosyl-L-homocysteine + 6-Methylpretetramide
R09190	6-methylpretetramide,NADPH:oxygen oxidoreductase (4,12a-hydroxylating)	C06629 + C00005 + C00080 + C00007	C06627 + C00006 + C00001	C06629 + 2 C00005 + 2 C00080 + 2 C00007 <=> C06627 + 2 C00006 + 2 C00001	6-methylpretetramide,NADPH:oxygen oxidoreductase (4,12a-hydroxylating); 6-Methylpretetramide + 2 NADPH + 2 H+ + 2 Oxygen <=> 4-Keto-anhydrotetracycline + 2 NADP+ + 2 H2O	6-Methylpretetramide + 2 NADPH + 2 H+ + 2 Oxygen <=> 4-Keto-anhydrotetracycline + 2 NADP+ + 2 H2O
R09191	S-adenosyl-L-methionine:4-amino-anhydrotetracycline N-methyltransferase	C06654 + C00019	C02811 + C00021	C06654 + 2 C00019 <=> C02811 + 2 C00021	S-adenosyl-L-methionine:4-amino-anhydrotetracycline N-methyltransferase; 4-Amino-anhydrotetracycline + 2 S-Adenosyl-L-methionine <=> Anhydrotetracycline + 2 S-Adenosyl-L-homocysteine	4-Amino-anhydrotetracycline + 2 S-Adenosyl-L-methionine <=> Anhydrotetracycline + 2 S-Adenosyl-L-homocysteine
R09192	oxytetracycline:coenzyme-F420 oxidoreductase	C06624 + C00876	C18296 + C01080	C06624 + C00876 <=> C18296 + C01080	oxytetracycline:coenzyme-F420 oxidoreductase; Oxytetracycline + Coenzyme F420 <=> 5a,11a-Dehydrooxytetracycline + Reduced coenzyme F420	Oxytetracycline + Coenzyme F420 <=> 5a,11a-Dehydrooxytetracycline + Reduced coenzyme F420
R09195	malonyl-CoA:L-glutamine amido-ligase (AMP-forming)	C00002 + C00083 + C00064 + C00001	C00020 + C00013 + C06625 + C00025	C00002 + C00083 + C00064 + C00001 <=> C00020 + C00013 + C06625 + C00025	malonyl-CoA:L-glutamine amido-ligase (AMP-forming); ATP + Malonyl-CoA + L-Glutamine + H2O <=> AMP + Diphosphate + Malonamoyl-CoA + L-Glutamate	ATP + Malonyl-CoA + L-Glutamine + H2O <=> AMP + Diphosphate + Malonamoyl-CoA + L-Glutamate
R09198	5a,11a-dehydrotetracycline,NADPH:oxygen oxidoreductase (5-hydroxylating)	C03206 + C00005 + C00080 + C00007	C18296 + C00006 + C00001	C03206 + C00005 + C00080 + C00007 <=> C18296 + C00006 + C00001	5a,11a-dehydrotetracycline,NADPH:oxygen oxidoreductase (5-hydroxylating); 5a,11a-Dehydrotetracycline + NADPH + H+ + Oxygen <=> 5a,11a-Dehydrooxytetracycline + NADP+ + H2O	5a,11a-Dehydrotetracycline + NADPH + H+ + Oxygen <=> 5a,11a-Dehydrooxytetracycline + NADP+ + H2O
R09215	chloromuconate chloromuconate	C18303	C18308	C18303 <=> C18308	chloromuconate chloromuconate; 3,5-Dichloro-2-methylmuconate <=> 3,5-Dichloro-2-methylmuconolactone	3,5-Dichloro-2-methylmuconate <=> 3,5-Dichloro-2-methylmuconolactone
R09217	chloromuconate cycloisomerase	C18308	C18309 + C01327	C18308 <=> C18309 + C01327	chloromuconate cycloisomerase; 3,5-Dichloro-2-methylmuconolactone <=> 3-Chloro-2-methyldienelactone + Hydrochloric acid	3,5-Dichloro-2-methylmuconolactone <=> 3-Chloro-2-methyldienelactone + Hydrochloric acid
R09220	dienelactone hydrolase	C18309 + C00001	C18310	C18309 + C00001 <=> C18310	dienelactone hydrolase; 3-Chloro-2-methyldienelactone + H2O <=> 3-Chloro-2-methylmaleylacetate	3-Chloro-2-methyldienelactone + H2O <=> 3-Chloro-2-methylmaleylacetate
R09221	chloromuconate cycloisomerase	C18303	C18304 + C01327	C18303 <=> C18304 + C01327	chloromuconate cycloisomerase; 3,5-Dichloro-2-methylmuconate <=> 2-Chloro-5-methyl-cis-dienelactone + Hydrochloric acid	3,5-Dichloro-2-methylmuconate <=> 2-Chloro-5-methyl-cis-dienelactone + Hydrochloric acid
R09222	dienelactone hydrolase	C18304 + C00001	C18305	C18304 + C00001 <=> C18305	dienelactone hydrolase; 2-Chloro-5-methyl-cis-dienelactone + H2O <=> 2-Chloro-5-methylmaleylacetate	2-Chloro-5-methyl-cis-dienelactone + H2O <=> 2-Chloro-5-methylmaleylacetate
R09223	maleylacetate reductase	C18305 + C00004 + C00080	C18306 + C00003 + C01327	C18305 + C00004 + C00080 <=> C18306 + C00003 + C01327	maleylacetate reductase; 2-Chloro-5-methylmaleylacetate + NADH + H+ <=> 5-Methylmaleylacetate + NAD+ + Hydrochloric acid	2-Chloro-5-methylmaleylacetate + NADH + H+ <=> 5-Methylmaleylacetate + NAD+ + Hydrochloric acid
R09224	maleylacetate reductase	C18306 + C00004 + C00080	C18307 + C00003	C18306 + C00004 + C00080 <=> C18307 + C00003	maleylacetate reductase; 5-Methylmaleylacetate + NADH + H+ <=> 2-Methyl-3-oxoadipate + NAD+	5-Methylmaleylacetate + NADH + H+ <=> 2-Methyl-3-oxoadipate + NAD+
R09225	3-methyl-5-oxo-2,5-dihydrofuran-2-acetate delta3-delat2-isomerase	C04558	C18311	C04558 <=> C18311	3-methyl-5-oxo-2,5-dihydrofuran-2-acetate delta3-delat2-isomerase; 3-Methylmuconolactone <=> 4-Methyl-3-oxoadipate-enol-lactone	3-Methylmuconolactone <=> 4-Methyl-3-oxoadipate-enol-lactone
R09229	muconate cycloisomerase	C04112	C04558	C04112 <=> C04558	muconate cycloisomerase; 3-Methyl-cis,cis-hexadienedioate <=> 3-Methylmuconolactone	3-Methyl-cis,cis-hexadienedioate <=> 3-Methylmuconolactone
R09233	2,4-dinitrotoluene,NADH:oxygen oxidoreductase (4,5-hydroxylating, nitrite-releasing)	C11006 + C00004 + C00007 + C00080	C18315 + C00003 + C00088	C11006 + C00004 + C00007 + C00080 <=> C18315 + C00003 + C00088	2,4-dinitrotoluene,NADH:oxygen oxidoreductase (4,5-hydroxylating, nitrite-releasing); 2,4-Dinitrotoluene + NADH + Oxygen + H+ <=> 4-Methyl-5-nitrocatechol + NAD+ + Nitrite	2,4-Dinitrotoluene + NADH + Oxygen + H+ <=> 4-Methyl-5-nitrocatechol + NAD+ + Nitrite
R09234	4-methyl-5-nitrocatechol,NADPH:oxygen 5-oxidoreductase (5-hydroxylating, nitrite-forming)	C18315 + C00005 + C00007 + C00080	C18316 + C00006 + C00088 + C00001	C18315 + C00005 + C00007 + C00080 <=> C18316 + C00006 + C00088 + C00001	4-methyl-5-nitrocatechol,NADPH:oxygen 5-oxidoreductase (5-hydroxylating, nitrite-forming); 4-Methyl-5-nitrocatechol + NADPH + Oxygen + H+ <=> 2-Hydroxy-5-methylquinone + NADP+ + Nitrite + H2O	4-Methyl-5-nitrocatechol + NADPH + Oxygen + H+ <=> 2-Hydroxy-5-methylquinone + NADP+ + Nitrite + H2O
R09244	(2Z,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesylcistransferase (adding 7 isopentenyl units)	C16826 + C00129	C18321 + C00013	C16826 + 7 C00129 <=> C18321 + 7 C00013	(2Z,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesylcistransferase (adding 7 isopentenyl units); 2-cis,6-trans-Farnesyl diphosphate + 7 Isopentenyl diphosphate <=> trans,octacis-Decaprenyl diphosphate + 7 Diphosphate	2-cis,6-trans-Farnesyl diphosphate + 7 Isopentenyl diphosphate <=> trans,octacis-Decaprenyl diphosphate + 7 Diphosphate
R09245	(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase (adding 3 isopentenyl units)	C00448 + C00129	C01230 + C00013	C00448 + 3 C00129 <=> C01230 + 3 C00013	(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase (adding 3 isopentenyl units); trans,trans-Farnesyl diphosphate + 3 Isopentenyl diphosphate <=> all-trans-Hexaprenyl diphosphate + 3 Diphosphate	trans,trans-Farnesyl diphosphate + 3 Isopentenyl diphosphate <=> all-trans-Hexaprenyl diphosphate + 3 Diphosphate
R09246	geranylgeranyl-diphosphate:isopentenyl-diphosphate transferase (adding 2 isopentenyl units)	C00353 + C00129	C01230 + C00013	C00353 + 2 C00129 <=> C01230 + 2 C00013	geranylgeranyl-diphosphate:isopentenyl-diphosphate transferase (adding 2 isopentenyl units); Geranylgeranyl diphosphate + 2 Isopentenyl diphosphate <=> all-trans-Hexaprenyl diphosphate + 2 Diphosphate	Geranylgeranyl diphosphate + 2 Isopentenyl diphosphate <=> all-trans-Hexaprenyl diphosphate + 2 Diphosphate
R09247	(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase (adding 4 isopentenyl units)	C00448 + C00129	C04216 + C00013	C00448 + 4 C00129 <=> C04216 + 4 C00013	(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase (adding 4 isopentenyl units); trans,trans-Farnesyl diphosphate + 4 Isopentenyl diphosphate <=> all-trans-Heptaprenyl diphosphate + 4 Diphosphate	trans,trans-Farnesyl diphosphate + 4 Isopentenyl diphosphate <=> all-trans-Heptaprenyl diphosphate + 4 Diphosphate
R09248	(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase (adding 5 isopentenyl units)	C00448 + C00129	C04146 + C00013	C00448 + 5 C00129 <=> C04146 + 5 C00013	(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase (adding 5 isopentenyl units); trans,trans-Farnesyl diphosphate + 5 Isopentenyl diphosphate <=> all-trans-Octaprenyl diphosphate + 5 Diphosphate	trans,trans-Farnesyl diphosphate + 5 Isopentenyl diphosphate <=> all-trans-Octaprenyl diphosphate + 5 Diphosphate
R09249	(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase (adding 7 isopentenyl units)	C00448 + C00129	C17432 + C00013	C00448 + 7 C00129 <=> C17432 + 7 C00013	(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate farnesyltranstransferase (adding 7 isopentenyl units); trans,trans-Farnesyl diphosphate + 7 Isopentenyl diphosphate <=> all-trans-Decaprenyl diphosphate + 7 Diphosphate	trans,trans-Farnesyl diphosphate + 7 Isopentenyl diphosphate <=> all-trans-Decaprenyl diphosphate + 7 Diphosphate
R09250	geranyl-diphosphate:isopentenyl-diphosphate transtransferase (adding 7 isopentenyl units)	C00341 + C00129	C04145 + C00013	C00341 + 7 C00129 <=> C04145 + 7 C00013	geranyl-diphosphate:isopentenyl-diphosphate transtransferase (adding 7 isopentenyl units); Geranyl diphosphate + 7 Isopentenyl diphosphate <=> all-trans-Nonaprenyl diphosphate + 7 Diphosphate	Geranyl diphosphate + 7 Isopentenyl diphosphate <=> all-trans-Nonaprenyl diphosphate + 7 Diphosphate
R09251	geranylgeranyl-diphosphate:isopentenyl-diphosphate transtransferase (adding 5 isopentenyl units)	C00353 + C00129	C04145 + C00013	C00353 + 5 C00129 <=> C04145 + 5 C00013	geranylgeranyl-diphosphate:isopentenyl-diphosphate transtransferase (adding 5 isopentenyl units); Geranylgeranyl diphosphate + 5 Isopentenyl diphosphate <=> all-trans-Nonaprenyl diphosphate + 5 Diphosphate	Geranylgeranyl diphosphate + 5 Isopentenyl diphosphate <=> all-trans-Nonaprenyl diphosphate + 5 Diphosphate
R09252	cyclohex-1-ene-1-carbonyl-CoA:electron transfer flavoprotein oxidoreductase	C09811 + C04253	C06322 + C04570	C09811 + C04253 <=> C06322 + C04570	cyclohex-1-ene-1-carbonyl-CoA:electron transfer flavoprotein oxidoreductase; Cyclohex-1-ene-1-carbonyl-CoA + Electron-transferring flavoprotein <=> Cyclohexa-1,5-diene-1-carbonyl-CoA + Reduced electron-transferring flavoprotein	Cyclohex-1-ene-1-carbonyl-CoA + Electron-transferring flavoprotein <=> Cyclohexa-1,5-diene-1-carbonyl-CoA + Reduced electron-transferring flavoprotein
R09253	2-oxo-4-hydroxy-5-aminovalerate hydro-lyase (deaminating; 2,5-dioxopentanoate-forming)	C05941	C00433 + C00014	C05941 <=> C00433 + C00014	2-oxo-4-hydroxy-5-aminovalerate hydro-lyase (deaminating; 2,5-dioxopentanoate-forming); 2-Oxo-4-hydroxy-5-aminovalerate <=> 2,5-Dioxopentanoate + Ammonia	2-Oxo-4-hydroxy-5-aminovalerate <=> 2,5-Dioxopentanoate + Ammonia
R09254	L-tyrosine:pyruvate aminotransferase	C00082 + C00022	C01179 + C00041	C00082 + C00022 <=> C01179 + C00041	L-tyrosine:pyruvate aminotransferase; L-Tyrosine + Pyruvate <=> 3-(4-Hydroxyphenyl)pyruvate + L-Alanine	L-Tyrosine + Pyruvate <=> 3-(4-Hydroxyphenyl)pyruvate + L-Alanine
R09255	feruloyl-CoA:agmatine feruloyltransferase	C00406 + C00179	C00010 + C18325	C00406 + C00179 <=> C00010 + C18325	feruloyl-CoA:agmatine feruloyltransferase; Feruloyl-CoA + Agmatine <=> CoA + Feruloylagmatine	Feruloyl-CoA + Agmatine <=> CoA + Feruloylagmatine
R09256	4-coumaroyl-CoA:putrescine N4-coumaroyltransferase	C00223 + C00134	C00010 + C18326	C00223 + C00134 <=> C00010 + C18326	4-coumaroyl-CoA:putrescine N4-coumaroyltransferase; p-Coumaroyl-CoA + Putrescine <=> CoA + p-Coumaroylputrescine	p-Coumaroyl-CoA + Putrescine <=> CoA + p-Coumaroylputrescine
R09257	feruloyl-CoA:putrescine feruloyltransferase	C00406 + C00134	C00010 + C10497	C00406 + C00134 <=> C00010 + C10497	feruloyl-CoA:putrescine feruloyltransferase; Feruloyl-CoA + Putrescine <=> CoA + Feruloylputrescine	Feruloyl-CoA + Putrescine <=> CoA + Feruloylputrescine
R09270	syringate:tetrahydrofolate N-methyltransferase	C10833 + C00101	C05616 + C00440	C10833 + C00101 <=> C05616 + C00440	syringate:tetrahydrofolate N-methyltransferase; Syringic acid + Tetrahydrofolate <=> 3-O-Methylgallate + 5-Methyltetrahydrofolate	Syringic acid + Tetrahydrofolate <=> 3-O-Methylgallate + 5-Methyltetrahydrofolate
R09271	3-O-methylgallate:tetrahydrofolate O-methyltransferase	C05616 + C00101	C01424 + C00440	C05616 + C00101 <=> C01424 + C00440	3-O-methylgallate:tetrahydrofolate O-methyltransferase; 3-O-Methylgallate + Tetrahydrofolate <=> Gallate + 5-Methyltetrahydrofolate	3-O-Methylgallate + Tetrahydrofolate <=> Gallate + 5-Methyltetrahydrofolate
R09272	3-O-methylgallate:oxygen 3,4-oxidoreductase (decyclizing)	C05616 + C00007	C18345	C05616 + C00007 <=> C18345	3-O-methylgallate:oxygen 3,4-oxidoreductase (decyclizing); 3-O-Methylgallate + Oxygen <=> 4-Carboxy-2-hydroxy-6-methoxy-6-oxohexa-2,4-dienoate	3-O-Methylgallate + Oxygen <=> 4-Carboxy-2-hydroxy-6-methoxy-6-oxohexa-2,4-dienoate
